State Test English Language Arts (ELA) Results 2015 to 2017,,,,,,ELA Overall Performance Levels,,,,,,,,Reading Literary Text Subscores,,,,Reading Information Subscores,,,,Vocabulary Subscores,,,,,Writing Expression Subscores,,,,Writing Conventions Subscores,,
School ID,Year,Test Name,# Students Tested,,Overall ELA Mean Scale Score,% Did Not Meet,% Partially Met,% Approached,% Met,% Exceeded,% Met or Exceeded,Reading Mean Scale Score,,% Did Not Yet Meet or Partially Met,% Approached,% Met or Exceeded,,% Did Not Yet Meet or Partially Met,% Approached,% Met or Exceeded,,% Did Not Yet Meet or Partially Met,% Approached,% Met or Exceeded,Writing Mean Scale Score,,% Did Not Yet Meet or Partially Met,% Approached,% Met or Exceeded,,% Did Not Yet Meet or Partially Met,% Approached,% Met or Exceeded
609976,2016,ELA/Literacy Grade 5,89,,741,11.2%,19.1%,27.0%,42.7%,0.0%,42.7%,46,,28.1%,23.6%,48.3%,,30.3%,31.5%,38.2%,,41.6%,33.7%,24.7%,32,,25.8%,25.8%,48.3%,,29.2%,23.6%,47.2%
609977,2016,ELA/Literacy Grade 5,21,,729,14.3%,19.0%,47.6%,19.0%,0.0%,19.0%,41,,47.6%,28.6%,23.8%,,42.9%,33.3%,23.8%,,66.7%,9.5%,23.8%,29,,33.3%,28.6%,38.1%,,38.1%,28.6%,33.3%
609978,2016,ELA/Literacy Grade 5,37,,703,40.5%,51.4%,5.4%,2.7%,0.0%,2.7%,33,,78.4%,10.8%,10.8%,,81.1%,16.2%,2.7%,,73.0%,27.0%,0.0%,15,,91.9%,5.4%,2.7%,,97.3%,0.0%,2.7%
609979,2016,ELA/Literacy Grade 5,132,,750,8.3%,14.4%,25.8%,45.5%,6.1%,51.5%,50,,25.8%,24.2%,50.0%,,22.0%,22.7%,55.3%,,23.5%,20.5%,56.1%,33,,27.3%,22.7%,50.0%,,25.8%,28.8%,45.5%
609981,2016,ELA/Literacy Grade 5,23,,707,43.5%,43.5%,4.3%,8.7%,0.0%,8.7%,33,,78.3%,8.7%,13.0%,,69.6%,21.7%,8.7%,,78.3%,17.4%,4.3%,19,,82.6%,4.3%,13.0%,,78.3%,17.4%,4.3%
609983,2016,ELA/Literacy Grade 5,69,,723,20.3%,30.4%,37.7%,11.6%,0.0%,11.6%,38,,53.6%,31.9%,14.5%,,59.4%,18.8%,21.7%,,66.7%,23.2%,10.1%,28,,42.0%,31.9%,26.1%,,39.1%,39.1%,21.7%
609985,2016,ELA/Literacy Grade 5,30,,733,10.0%,30.0%,43.3%,16.7%,0.0%,16.7%,46,,23.3%,40.0%,36.7%,,36.7%,13.3%,50.0%,,23.3%,33.3%,43.3%,27,,46.7%,43.3%,10.0%,,46.7%,50.0%,3.3%
609986,2016,ELA/Literacy Grade 5,25,,709,24.0%,56.0%,12.0%,8.0%,0.0%,8.0%,35,,76.0%,16.0%,8.0%,,56.0%,36.0%,8.0%,,68.0%,24.0%,8.0%,22,,68.0%,28.0%,4.0%,,84.0%,12.0%,4.0%
609987,2016,ELA/Literacy Grade 5,29,,715,31.0%,31.0%,24.1%,13.8%,0.0%,13.8%,35,,72.4%,20.7%,6.9%,,69.0%,20.7%,10.3%,,65.5%,10.3%,24.1%,25,,65.5%,10.3%,24.1%,,55.2%,27.6%,17.2%
609988,2016,ELA/Literacy Grade 5,72,,734,12.5%,26.4%,26.4%,31.9%,2.8%,34.7%,43,,40.3%,23.6%,36.1%,,45.8%,27.8%,26.4%,,55.6%,22.2%,22.2%,30,,33.3%,29.2%,37.5%,,37.5%,25.0%,37.5%
609990,2016,ELA/Literacy Grade 5,92,,751,6.5%,12.0%,28.3%,47.8%,5.4%,53.3%,51,,25.0%,20.7%,54.3%,,22.8%,29.3%,47.8%,,21.7%,19.6%,58.7%,34,,25.0%,20.7%,54.3%,,19.6%,30.4%,50.0%
609991,2016,ELA/Literacy Grade 5,46,,715,26.1%,32.6%,37.0%,4.3%,0.0%,4.3%,38,,52.2%,23.9%,23.9%,,67.4%,17.4%,15.2%,,56.5%,19.6%,23.9%,21,,69.6%,26.1%,4.3%,,73.9%,23.9%,2.2%
609993,2016,ELA/Literacy Grade 5,44,,718,20.5%,43.2%,29.5%,6.8%,0.0%,6.8%,39,,54.5%,22.7%,22.7%,,65.9%,15.9%,18.2%,,63.6%,20.5%,15.9%,22,,61.4%,29.5%,9.1%,,84.1%,15.9%,0.0%
609994,2016,ELA/Literacy Grade 5,147,,732,15.6%,27.2%,30.6%,24.5%,2.0%,26.5%,44,,46.3%,21.8%,32.0%,,38.1%,26.5%,35.4%,,51.0%,20.4%,28.6%,28,,53.7%,14.3%,32.0%,,40.8%,33.3%,25.9%
609995,2016,ELA/Literacy Grade 5,57,,735,8.8%,22.8%,38.6%,29.8%,0.0%,29.8%,45,,36.8%,31.6%,31.6%,,29.8%,40.4%,29.8%,,29.8%,40.4%,29.8%,29,,43.9%,28.1%,28.1%,,33.3%,43.9%,22.8%
609996,2016,ELA/Literacy Grade 5,50,,722,18.0%,34.0%,30.0%,18.0%,0.0%,18.0%,40,,50.0%,28.0%,22.0%,,58.0%,24.0%,18.0%,,38.0%,32.0%,30.0%,23,,58.0%,20.0%,22.0%,,60.0%,28.0%,12.0%
609997,2016,ELA/Literacy Grade 5,22,,696,45.5%,45.5%,4.5%,4.5%,0.0%,4.5%,30,,81.8%,9.1%,9.1%,,81.8%,13.6%,4.5%,,81.8%,9.1%,9.1%,16,,95.5%,4.5%,0.0%,,90.9%,9.1%,0.0%
610000,2016,ELA/Literacy Grade 5,55,,712,32.7%,41.8%,21.8%,1.8%,1.8%,3.6%,35,,69.1%,21.8%,9.1%,,70.9%,20.0%,9.1%,,65.5%,27.3%,7.3%,23,,65.5%,23.6%,10.9%,,69.1%,27.3%,3.6%
610002,2016,ELA/Literacy Grade 5,24,,720,16.7%,45.8%,25.0%,12.5%,0.0%,12.5%,40,,41.7%,37.5%,20.8%,,66.7%,25.0%,8.3%,,54.2%,25.0%,20.8%,21,,66.7%,20.8%,12.5%,,70.8%,25.0%,4.2%
610003,2016,ELA/Literacy Grade 5,32,,714,12.5%,59.4%,28.1%,0.0%,0.0%,0.0%,37,,71.9%,25.0%,3.1%,,65.6%,34.4%,0.0%,,46.9%,25.0%,28.1%,21,,75.0%,21.9%,3.1%,,71.9%,28.1%,0.0%
610004,2016,ELA/Literacy Grade 5,25,,723,16.0%,36.0%,24.0%,24.0%,0.0%,24.0%,39,,56.0%,20.0%,24.0%,,60.0%,20.0%,20.0%,,44.0%,20.0%,36.0%,26,,48.0%,28.0%,24.0%,,36.0%,44.0%,20.0%
610005,2016,ELA/Literacy Grade 5,18,,725,22.2%,27.8%,27.8%,22.2%,0.0%,22.2%,39,,50.0%,22.2%,27.8%,,61.1%,11.1%,27.8%,,55.6%,27.8%,16.7%,28,,38.9%,27.8%,33.3%,,50.0%,22.2%,27.8%
610006,2016,ELA/Literacy Grade 5,86,,726,14.0%,27.9%,40.7%,17.4%,0.0%,17.4%,41,,44.2%,25.6%,30.2%,,44.2%,32.6%,23.3%,,46.5%,23.3%,30.2%,27,,50.0%,30.2%,19.8%,,43.0%,41.9%,15.1%
610009,2016,ELA/Literacy Grade 5,55,,754,3.6%,7.3%,30.9%,58.2%,0.0%,58.2%,51,,16.4%,30.9%,52.7%,,21.8%,20.0%,58.2%,,21.8%,20.0%,58.2%,36,,10.9%,27.3%,61.8%,,3.6%,29.1%,67.3%
610010,2016,ELA/Literacy Grade 5,12,,737,0.0%,41.7%,33.3%,25.0%,0.0%,25.0%,44,,41.7%,41.7%,16.7%,,33.3%,25.0%,41.7%,,41.7%,41.7%,16.7%,31,,33.3%,25.0%,41.7%,,16.7%,50.0%,33.3%
610011,2016,ELA/Literacy Grade 5,94,,745,7.4%,16.0%,34.0%,40.4%,2.1%,42.6%,49,,25.5%,18.1%,56.4%,,28.7%,28.7%,42.6%,,33.0%,21.3%,45.7%,33,,31.9%,20.2%,47.9%,,35.1%,25.5%,39.4%
610012,2016,ELA/Literacy Grade 5,24,,692,75.0%,20.8%,0.0%,4.2%,0.0%,4.2%,28,,79.2%,12.5%,8.3%,,87.5%,12.5%,0.0%,,83.3%,12.5%,4.2%,14,,91.7%,4.2%,4.2%,,95.8%,4.2%,0.0%
610013,2016,ELA/Literacy Grade 5,37,,713,29.7%,37.8%,32.4%,0.0%,0.0%,0.0%,37,,64.9%,27.0%,8.1%,,56.8%,37.8%,5.4%,,67.6%,16.2%,16.2%,22,,64.9%,35.1%,0.0%,,73.0%,24.3%,2.7%
610015,2016,ELA/Literacy Grade 5,29,,731,17.2%,20.7%,34.5%,24.1%,3.4%,27.6%,43,,24.1%,31.0%,44.8%,,48.3%,20.7%,31.0%,,55.2%,20.7%,24.1%,26,,41.4%,27.6%,31.0%,,44.8%,27.6%,27.6%
610016,2016,ELA/Literacy Grade 5,27,,750,3.7%,11.1%,25.9%,59.3%,0.0%,59.3%,47,,37.0%,33.3%,29.6%,,29.6%,25.9%,44.4%,,22.2%,29.6%,48.1%,36,,18.5%,3.7%,77.8%,,22.2%,11.1%,66.7%
610017,2016,ELA/Literacy Grade 5,105,,723,18.1%,40.0%,25.7%,15.2%,1.0%,16.2%,38,,63.8%,19.0%,17.1%,,54.3%,30.5%,15.2%,,61.0%,22.9%,16.2%,29,,46.7%,29.5%,23.8%,,40.0%,41.9%,18.1%
610019,2016,ELA/Literacy Grade 5,27,,731,7.4%,29.6%,29.6%,33.3%,0.0%,33.3%,42,,37.0%,18.5%,44.4%,,48.1%,25.9%,25.9%,,51.9%,18.5%,29.6%,29,,40.7%,29.6%,29.6%,,40.7%,37.0%,22.2%
610021,2016,ELA/Literacy Grade 5,45,,739,2.2%,24.4%,46.7%,26.7%,0.0%,26.7%,46,,26.7%,42.2%,31.1%,,33.3%,40.0%,26.7%,,35.6%,31.1%,33.3%,31,,26.7%,28.9%,44.4%,,35.6%,40.0%,24.4%
610022,2016,ELA/Literacy Grade 5,64,,719,32.8%,26.6%,28.1%,10.9%,1.6%,12.5%,38,,59.4%,23.4%,17.2%,,57.8%,26.6%,15.6%,,53.1%,34.4%,12.5%,25,,59.4%,20.3%,20.3%,,54.7%,29.7%,15.6%
610026,2016,ELA/Literacy Grade 5,75,,732,22.7%,17.3%,29.3%,29.3%,1.3%,30.7%,43,,49.3%,20.0%,30.7%,,46.7%,20.0%,33.3%,,45.3%,18.7%,36.0%,30,,37.3%,21.3%,41.3%,,34.7%,30.7%,34.7%
610027,2016,ELA/Literacy Grade 5,44,,729,13.6%,29.5%,31.8%,22.7%,2.3%,25.0%,42,,36.4%,25.0%,38.6%,,68.2%,9.1%,22.7%,,47.7%,20.5%,31.8%,28,,47.7%,15.9%,36.4%,,36.4%,45.5%,18.2%
610029,2016,ELA/Literacy Grade 5,23,,732,4.3%,34.8%,43.5%,17.4%,0.0%,17.4%,44,,39.1%,30.4%,30.4%,,43.5%,34.8%,21.7%,,43.5%,17.4%,39.1%,29,,39.1%,39.1%,21.7%,,52.2%,30.4%,17.4%
610030,2016,ELA/Literacy Grade 5,28,,727,14.3%,32.1%,32.1%,21.4%,0.0%,21.4%,42,,57.1%,21.4%,21.4%,,57.1%,17.9%,25.0%,,39.3%,28.6%,32.1%,28,,57.1%,21.4%,21.4%,,50.0%,35.7%,14.3%
610032,2016,ELA/Literacy Grade 5,36,,729,13.9%,33.3%,33.3%,19.4%,0.0%,19.4%,43,,50.0%,22.2%,27.8%,,41.7%,33.3%,25.0%,,47.2%,13.9%,38.9%,27,,52.8%,22.2%,25.0%,,50.0%,25.0%,25.0%
610033,2016,ELA/Literacy Grade 5,59,,748,8.5%,16.9%,20.3%,49.2%,5.1%,54.2%,50,,32.2%,11.9%,55.9%,,32.2%,16.9%,50.8%,,22.0%,18.6%,59.3%,32,,27.1%,18.6%,54.2%,,28.8%,20.3%,50.8%
610034,2016,ELA/Literacy Grade 5,29,,708,44.8%,31.0%,20.7%,3.4%,0.0%,3.4%,33,,82.8%,10.3%,6.9%,,82.8%,17.2%,0.0%,,75.9%,6.9%,17.2%,23,,69.0%,20.7%,10.3%,,72.4%,24.1%,3.4%
610036,2016,ELA/Literacy Grade 5,45,,716,26.7%,28.9%,37.8%,6.7%,0.0%,6.7%,38,,60.0%,24.4%,15.6%,,57.8%,26.7%,15.6%,,48.9%,26.7%,24.4%,22,,55.6%,35.6%,8.9%,,57.8%,33.3%,8.9%
610037,2016,ELA/Literacy Grade 5,34,,713,35.3%,35.3%,11.8%,17.6%,0.0%,17.6%,36,,70.6%,11.8%,17.6%,,67.6%,14.7%,17.6%,,55.9%,29.4%,14.7%,23,,73.5%,11.8%,14.7%,,58.8%,32.4%,8.8%
610038,2016,ELA/Literacy Grade 5,89,,771,3.4%,5.6%,14.6%,65.2%,11.2%,76.4%,57,,16.9%,11.2%,71.9%,,11.2%,11.2%,77.5%,,19.1%,23.6%,57.3%,40,,5.6%,10.1%,84.3%,,7.9%,16.9%,75.3%
610039,2016,ELA/Literacy Grade 5,55,,726,12.7%,36.4%,34.5%,16.4%,0.0%,16.4%,41,,50.9%,25.5%,23.6%,,49.1%,29.1%,21.8%,,49.1%,29.1%,21.8%,26,,52.7%,23.6%,23.6%,,45.5%,38.2%,16.4%
610040,2016,ELA/Literacy Grade 5,174,,718,24.7%,35.6%,26.4%,13.2%,0.0%,13.2%,38,,58.0%,19.0%,23.0%,,56.9%,28.2%,14.9%,,61.5%,23.6%,14.9%,23,,60.9%,23.0%,16.1%,,61.5%,28.7%,9.8%
610041,2016,ELA/Literacy Grade 5,128,,725,19.5%,31.3%,31.3%,17.2%,0.8%,18.0%,41,,57.8%,20.3%,21.9%,,50.0%,26.6%,23.4%,,44.5%,24.2%,31.3%,27,,50.0%,29.7%,20.3%,,43.8%,35.9%,20.3%
610043,2016,ELA/Literacy Grade 5,43,,718,20.9%,37.2%,32.6%,9.3%,0.0%,9.3%,37,,58.1%,23.3%,18.6%,,62.8%,25.6%,11.6%,,69.8%,20.9%,9.3%,27,,48.8%,34.9%,16.3%,,51.2%,39.5%,9.3%
610044,2016,ELA/Literacy Grade 5,52,,721,17.3%,34.6%,40.4%,7.7%,0.0%,7.7%,39,,53.8%,28.8%,17.3%,,46.2%,30.8%,23.1%,,57.7%,28.8%,13.5%,25,,57.7%,21.2%,21.2%,,65.4%,23.1%,11.5%
610046,2016,ELA/Literacy Grade 5,171,,731,8.2%,32.7%,35.7%,23.4%,0.0%,23.4%,43,,42.7%,22.8%,34.5%,,39.8%,33.9%,26.3%,,46.8%,26.3%,26.9%,29,,40.9%,31.6%,27.5%,,39.8%,40.9%,19.3%
610047,2016,ELA/Literacy Grade 5,19,,714,31.6%,26.3%,31.6%,10.5%,0.0%,10.5%,37,,68.4%,15.8%,15.8%,,68.4%,26.3%,5.3%,,47.4%,31.6%,21.1%,24,,57.9%,26.3%,15.8%,,84.2%,10.5%,5.3%
610048,2016,ELA/Literacy Grade 5,26,,699,50.0%,38.5%,7.7%,3.8%,0.0%,3.8%,31,,76.9%,19.2%,3.8%,,76.9%,19.2%,3.8%,,80.8%,19.2%,0.0%,17,,88.5%,7.7%,3.8%,,88.5%,11.5%,0.0%
610052,2016,ELA/Literacy Grade 5,27,,713,25.9%,44.4%,22.2%,7.4%,0.0%,7.4%,38,,59.3%,18.5%,22.2%,,74.1%,14.8%,11.1%,,55.6%,18.5%,25.9%,19,,85.2%,7.4%,7.4%,,81.5%,18.5%,0.0%
610053,2016,ELA/Literacy Grade 5,125,,718,23.2%,38.4%,27.2%,11.2%,0.0%,11.2%,38,,59.2%,18.4%,22.4%,,58.4%,23.2%,18.4%,,52.8%,24.8%,22.4%,24,,63.2%,25.6%,11.2%,,58.4%,32.8%,8.8%
610054,2016,ELA/Literacy Grade 5,72,,719,19.4%,38.9%,29.2%,12.5%,0.0%,12.5%,40,,52.8%,25.0%,22.2%,,54.2%,26.4%,19.4%,,50.0%,25.0%,25.0%,22,,66.7%,20.8%,12.5%,,68.1%,23.6%,8.3%
610055,2016,ELA/Literacy Grade 5,22,,715,22.7%,40.9%,31.8%,4.5%,0.0%,4.5%,38,,54.5%,22.7%,22.7%,,68.2%,27.3%,4.5%,,59.1%,18.2%,22.7%,22,,72.7%,22.7%,4.5%,,68.2%,27.3%,4.5%
610056,2016,ELA/Literacy Grade 5,26,,708,34.6%,46.2%,15.4%,3.8%,0.0%,3.8%,36,,69.2%,11.5%,19.2%,,61.5%,30.8%,7.7%,,65.4%,19.2%,15.4%,16,,88.5%,11.5%,0.0%,,84.6%,11.5%,3.8%
610057,2016,ELA/Literacy Grade 5,54,,703,40.7%,44.4%,13.0%,1.9%,0.0%,1.9%,32,,75.9%,18.5%,5.6%,,77.8%,18.5%,3.7%,,75.9%,13.0%,11.1%,18,,88.9%,7.4%,3.7%,,88.9%,11.1%,0.0%
610059,2016,ELA/Literacy Grade 5,52,,756,3.8%,15.4%,21.2%,55.8%,3.8%,59.6%,53,,21.2%,23.1%,55.8%,,19.2%,9.6%,71.2%,,21.2%,25.0%,53.8%,35,,23.1%,13.5%,63.5%,,19.2%,25.0%,55.8%
610060,2016,ELA/Literacy Grade 5,46,,760,4.3%,10.9%,13.0%,63.0%,8.7%,71.7%,55,,13.0%,17.4%,69.6%,,19.6%,19.6%,60.9%,,23.9%,8.7%,67.4%,36,,15.2%,15.2%,69.6%,,13.0%,23.9%,63.0%
610062,2016,ELA/Literacy Grade 5,22,,736,13.6%,18.2%,31.8%,31.8%,4.5%,36.4%,44,,50.0%,13.6%,36.4%,,36.4%,36.4%,27.3%,,36.4%,27.3%,36.4%,30,,31.8%,22.7%,45.5%,,36.4%,36.4%,27.3%
610063,2016,ELA/Literacy Grade 5,106,,729,7.5%,32.1%,44.3%,16.0%,0.0%,16.0%,41,,47.2%,25.5%,27.4%,,45.3%,30.2%,24.5%,,52.8%,21.7%,25.5%,30,,36.8%,35.8%,27.4%,,37.7%,44.3%,17.9%
610065,2016,ELA/Literacy Grade 5,25,,702,44.0%,36.0%,20.0%,0.0%,0.0%,0.0%,32,,76.0%,16.0%,8.0%,,68.0%,24.0%,8.0%,,80.0%,20.0%,0.0%,17,,80.0%,20.0%,0.0%,,84.0%,16.0%,0.0%
610066,2016,ELA/Literacy Grade 5,29,,772,0.0%,0.0%,13.8%,72.4%,13.8%,86.2%,59,,6.9%,13.8%,79.3%,,3.4%,13.8%,82.8%,,0.0%,17.2%,82.8%,39,,0.0%,24.1%,75.9%,,0.0%,27.6%,72.4%
610067,2016,ELA/Literacy Grade 5,69,,719,21.7%,30.4%,37.7%,10.1%,0.0%,10.1%,38,,52.2%,24.6%,23.2%,,55.1%,23.2%,21.7%,,59.4%,26.1%,14.5%,25,,53.6%,31.9%,14.5%,,55.1%,29.0%,15.9%
610068,2016,ELA/Literacy Grade 5,130,,727,11.5%,38.5%,33.1%,16.9%,0.0%,16.9%,40,,55.4%,25.4%,19.2%,,51.5%,26.9%,21.5%,,53.8%,29.2%,16.9%,30,,41.5%,27.7%,30.8%,,40.0%,41.5%,18.5%
610070,2016,ELA/Literacy Grade 5,76,,735,5.3%,27.6%,39.5%,27.6%,0.0%,27.6%,45,,34.2%,25.0%,40.8%,,35.5%,32.9%,31.6%,,38.2%,27.6%,34.2%,30,,38.2%,31.6%,30.3%,,43.4%,39.5%,17.1%
610073,2016,ELA/Literacy Grade 5,30,,743,6.7%,20.0%,26.7%,46.7%,0.0%,46.7%,45,,36.7%,33.3%,30.0%,,30.0%,30.0%,40.0%,,43.3%,13.3%,43.3%,35,,20.0%,20.0%,60.0%,,20.0%,36.7%,43.3%
610074,2016,ELA/Literacy Grade 5,85,,731,12.9%,27.1%,31.8%,27.1%,1.2%,28.2%,43,,41.2%,22.4%,36.5%,,48.2%,29.4%,22.4%,,48.2%,23.5%,28.2%,29,,44.7%,21.2%,34.1%,,44.7%,30.6%,24.7%
610076,2016,ELA/Literacy Grade 5,43,,708,30.2%,48.8%,18.6%,2.3%,0.0%,2.3%,35,,76.7%,18.6%,4.7%,,72.1%,20.9%,7.0%,,67.4%,14.0%,18.6%,17,,88.4%,9.3%,2.3%,,83.7%,16.3%,0.0%
610077,2016,ELA/Literacy Grade 5,68,,705,45.6%,27.9%,22.1%,4.4%,0.0%,4.4%,32,,86.8%,7.4%,5.9%,,72.1%,20.6%,7.4%,,72.1%,16.2%,11.8%,22,,70.6%,19.1%,10.3%,,66.2%,27.9%,5.9%
610078,2016,ELA/Literacy Grade 5,66,,737,13.6%,16.7%,37.9%,27.3%,4.5%,31.8%,44,,47.0%,19.7%,33.3%,,40.9%,21.2%,37.9%,,34.8%,33.3%,31.8%,32,,30.3%,28.8%,40.9%,,22.7%,31.8%,45.5%
610081,2016,ELA/Literacy Grade 5,60,,749,1.7%,18.3%,31.7%,48.3%,0.0%,48.3%,51,,30.0%,16.7%,53.3%,,23.3%,26.7%,50.0%,,15.0%,25.0%,60.0%,33,,25.0%,30.0%,45.0%,,18.3%,45.0%,36.7%
610082,2016,ELA/Literacy Grade 5,112,,768,0.0%,11.6%,19.6%,63.4%,5.4%,68.8%,54,,14.3%,17.9%,67.9%,,18.8%,18.8%,62.5%,,15.2%,21.4%,63.4%,38,,9.8%,19.6%,70.5%,,2.7%,32.1%,65.2%
610084,2016,ELA/Literacy Grade 5,31,,768,0.0%,0.0%,12.9%,87.1%,0.0%,87.1%,61,,0.0%,12.9%,87.1%,,6.5%,9.7%,83.9%,,3.2%,6.5%,90.3%,36,,3.2%,38.7%,58.1%,,0.0%,35.5%,64.5%
610086,2016,ELA/Literacy Grade 5,30,,722,20.0%,33.3%,26.7%,20.0%,0.0%,20.0%,39,,43.3%,36.7%,20.0%,,63.3%,26.7%,10.0%,,56.7%,26.7%,16.7%,25,,46.7%,26.7%,26.7%,,60.0%,30.0%,10.0%
610088,2016,ELA/Literacy Grade 5,71,,718,23.9%,36.6%,31.0%,8.5%,0.0%,8.5%,37,,64.8%,16.9%,18.3%,,63.4%,21.1%,15.5%,,60.6%,19.7%,19.7%,24,,60.6%,22.5%,16.9%,,60.6%,25.4%,14.1%
610089,2016,ELA/Literacy Grade 5,52,,732,17.3%,21.2%,28.8%,32.7%,0.0%,32.7%,45,,42.3%,21.2%,36.5%,,40.4%,17.3%,42.3%,,40.4%,15.4%,44.2%,27,,51.9%,19.2%,28.8%,,46.2%,30.8%,23.1%
610090,2016,ELA/Literacy Grade 5,49,,731,16.3%,24.5%,30.6%,28.6%,0.0%,28.6%,44,,51.0%,14.3%,34.7%,,44.9%,18.4%,36.7%,,38.8%,24.5%,36.7%,27,,49.0%,24.5%,26.5%,,55.1%,24.5%,20.4%
610091,2016,ELA/Literacy Grade 5,24,,723,20.8%,29.2%,37.5%,8.3%,4.2%,12.5%,39,,54.2%,29.2%,16.7%,,58.3%,20.8%,20.8%,,45.8%,37.5%,16.7%,27,,45.8%,29.2%,25.0%,,41.7%,45.8%,12.5%
610092,2016,ELA/Literacy Grade 5,24,,708,37.5%,41.7%,16.7%,4.2%,0.0%,4.2%,34,,87.5%,8.3%,4.2%,,83.3%,12.5%,4.2%,,50.0%,37.5%,12.5%,19,,79.2%,12.5%,8.3%,,83.3%,8.3%,8.3%
610093,2016,ELA/Literacy Grade 5,13,,697,53.8%,30.8%,15.4%,0.0%,0.0%,0.0%,31,,69.2%,30.8%,0.0%,,84.6%,15.4%,0.0%,,76.9%,0.0%,23.1%,16,,100.0%,0.0%,0.0%,,92.3%,7.7%,0.0%
610094,2016,ELA/Literacy Grade 5,36,,750,0.0%,22.2%,25.0%,44.4%,8.3%,52.8%,51,,27.8%,16.7%,55.6%,,25.0%,19.4%,55.6%,,25.0%,22.2%,52.8%,34,,27.8%,27.8%,44.4%,,11.1%,41.7%,47.2%
610095,2016,ELA/Literacy Grade 5,58,,743,3.4%,29.3%,31.0%,34.5%,1.7%,36.2%,49,,32.8%,20.7%,46.6%,,34.5%,27.6%,37.9%,,27.6%,25.9%,46.6%,30,,39.7%,24.1%,36.2%,,32.8%,39.7%,27.6%
610096,2016,ELA/Literacy Grade 5,123,,717,28.5%,32.5%,29.3%,9.8%,0.0%,9.8%,38,,59.3%,22.8%,17.9%,,55.3%,26.0%,18.7%,,61.8%,20.3%,17.9%,23,,63.4%,22.0%,14.6%,,67.5%,22.8%,9.8%
610097,2016,ELA/Literacy Grade 5,122,,717,27.0%,34.4%,27.0%,11.5%,0.0%,11.5%,37,,63.1%,24.6%,12.3%,,56.6%,26.2%,17.2%,,58.2%,27.0%,14.8%,25,,62.3%,19.7%,18.0%,,60.7%,29.5%,9.8%
610098,2016,ELA/Literacy Grade 5,97,,720,26.8%,33.0%,22.7%,17.5%,0.0%,17.5%,39,,59.8%,19.6%,20.6%,,55.7%,22.7%,21.6%,,53.6%,22.7%,23.7%,24,,60.8%,24.7%,14.4%,,63.9%,24.7%,11.3%
610099,2016,ELA/Literacy Grade 5,22,,750,0.0%,13.6%,27.3%,59.1%,0.0%,59.1%,51,,18.2%,22.7%,59.1%,,13.6%,40.9%,45.5%,,13.6%,31.8%,54.5%,33,,18.2%,31.8%,50.0%,,22.7%,36.4%,40.9%
610100,2016,ELA/Literacy Grade 5,63,,711,34.9%,34.9%,22.2%,7.9%,0.0%,7.9%,36,,69.8%,19.0%,11.1%,,65.1%,23.8%,11.1%,,61.9%,14.3%,23.8%,21,,73.0%,17.5%,9.5%,,71.4%,22.2%,6.3%
610101,2016,ELA/Literacy Grade 5,90,,743,6.7%,20.0%,30.0%,43.3%,0.0%,43.3%,47,,30.0%,24.4%,45.6%,,34.4%,26.7%,38.9%,,31.1%,21.1%,47.8%,32,,25.6%,22.2%,52.2%,,23.3%,32.2%,44.4%
610102,2016,ELA/Literacy Grade 5,35,,714,31.4%,25.7%,37.1%,5.7%,0.0%,5.7%,37,,60.0%,25.7%,14.3%,,62.9%,20.0%,17.1%,,51.4%,25.7%,22.9%,22,,71.4%,17.1%,11.4%,,68.6%,28.6%,2.9%
610103,2016,ELA/Literacy Grade 5,60,,724,13.3%,40.0%,31.7%,15.0%,0.0%,15.0%,40,,46.7%,26.7%,26.7%,,61.7%,15.0%,23.3%,,55.0%,26.7%,18.3%,28,,51.7%,33.3%,15.0%,,58.3%,33.3%,8.3%
610104,2016,ELA/Literacy Grade 5,61,,745,6.6%,16.4%,36.1%,36.1%,4.9%,41.0%,49,,32.8%,18.0%,49.2%,,26.2%,27.9%,45.9%,,31.1%,26.2%,42.6%,33,,29.5%,26.2%,44.3%,,23.0%,41.0%,36.1%
610105,2016,ELA/Literacy Grade 5,76,,749,0.0%,19.7%,26.3%,53.9%,0.0%,53.9%,52,,21.1%,21.1%,57.9%,,23.7%,25.0%,51.3%,,13.2%,27.6%,59.2%,33,,27.6%,27.6%,44.7%,,19.7%,43.4%,36.8%
610106,2016,ELA/Literacy Grade 5,59,,706,35.6%,44.1%,16.9%,3.4%,0.0%,3.4%,34,,71.2%,20.3%,8.5%,,72.9%,20.3%,6.8%,,62.7%,22.0%,15.3%,18,,78.0%,16.9%,5.1%,,91.5%,6.8%,1.7%
610107,2016,ELA/Literacy Grade 5,54,,728,13.0%,29.6%,33.3%,24.1%,0.0%,24.1%,41,,42.6%,25.9%,31.5%,,50.0%,29.6%,20.4%,,46.3%,24.1%,29.6%,29,,44.4%,25.9%,29.6%,,35.2%,44.4%,20.4%
610108,2016,ELA/Literacy Grade 5,33,,701,45.5%,36.4%,18.2%,0.0%,0.0%,0.0%,32,,66.7%,24.2%,9.1%,,87.9%,9.1%,3.0%,,75.8%,15.2%,9.1%,19,,84.8%,12.1%,3.0%,,87.9%,12.1%,0.0%
